"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","2/215","144/9561",0.0138888888888889,0.617635658914729,-0.701193097401122,0.839060798592328,0.937974469971098,0.861679895858617,"BEAN1/PLCB1",2
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/215","81/9561",0.0123456790123457,0.54900947459087,-0.618217147121398,0.842777691627005,0.938315243714277,0.861992951163355,"NME1-NME2",1
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","1/215","86/9561",0.0116279069767442,0.517090319091401,-0.682277133033615,0.859819060700724,0.953112391762043,0.875586503436901,"PLCB1",1
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","1/215","87/9561",0.0114942528735632,0.511146752205293,-0.694715084197028,0.862999947449996,0.953112391762043,0.875586503436901,"CACNG6",1
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","3/215","217/9561",0.0138248847926267,0.614789411638624,-0.870556486826555,0.870737391180607,0.954504056109225,0.876864970205604,"EGF/ESR1/FGF22",3
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/215","90/9561",0.0111111111111111,0.494108527131783,-0.731334368629297,0.872117931928821,0.954504056109225,0.876864970205604,"EGF",1
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","2/215","158/9561",0.0126582278481013,0.562908448631145,-0.840239366770406,0.87467280778009,0.954504056109225,0.876864970205604,"CDKN1C/CDKN1A",2
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","1/215","93/9561",0.010752688172043,0.478169542385596,-0.766967676718131,0.88063170711254,0.957208377296239,0.879349322683626,"HLA-DMA",1
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","2/215","163/9561",0.0122699386503067,0.545641318305036,-0.887381152700633,0.885533244244506,0.958746622705666,0.880762447653052,"IL6/CDKN1A",2
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","2/215","174/9561",0.0114942528735632,0.511146752205293,-0.987017852164869,0.906437629196154,0.973097372219787,0.893945911321527,"CRYAB/SEC24D",2
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","1/215","105/9561",0.00952380952380952,0.423521594684385,-0.900864034813945,0.909403726038128,0.973097372219787,0.893945911321527,"RAB7B",1
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","1/215","105/9561",0.00952380952380952,0.423521594684385,-0.900864034813945,0.909403726038128,0.973097372219787,0.893945911321527,"IL6",1
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","3/215","249/9561",0.0120481927710843,0.535780330624825,-1.12573719477328,0.922611812665307,0.98340406388744,0.903414259647792,"CLN8/CTSE/NEU1",3
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","1/215","120/9561",0.00833333333333333,0.370581395348837,-1.05234099185254,0.935853845979442,0.992900544039548,0.91213829883059,"SHC3",1
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","1/215","122/9561",0.00819672131147541,0.364506290507053,-1.07142917009561,0.938742332546482,0.992900544039548,0.91213829883059,"HNF4A",1
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","3/215","278/9561",0.0107913669064748,0.479889576710724,-1.33477808574818,0.952433039602012,0.999974614961185,0.918636966854294,"CCL5/IL6/NCAM2",3
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","2/215","214/9561",0.00934579439252336,0.415605303194958,-1.3113309733717,0.956055665280612,0.999974614961185,0.918636966854294,"GNAO1/GNG7",2
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","6/215","483/9561",0.0124223602484472,0.552419471327459,-1.53103440039955,0.964317093030709,0.999974614961185,0.918636966854294,"IL6/DKK1/PLCB1/MAPT/WNT10A/PRPH",6
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","1/215","154/9561",0.00649350649350649,0.288764723648445,-1.34953255351472,0.970730642975646,0.999974614961185,0.918636966854294,"NME1-NME2",1
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","2/215","235/9561",0.00851063829787234,0.378466105888174,-1.46314150566956,0.970794487018628,0.999974614961185,0.918636966854294,"ACSL1/DPF3",2
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","1/215","157/9561",0.00636942675159236,0.283246926381277,-1.37340418906856,0.972692209837206,0.999974614961185,0.918636966854294,"IL6",1
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","1/215","158/9561",0.00632911392405063,0.281454224315573,-1.38129059156107,0.973316537238843,0.999974614961185,0.918636966854294,"WNT10A",1
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","3/215","320/9561",0.009375,0.416904069767442,-1.60912877838633,0.977200630111078,0.999974614961185,0.918636966854294,"ABCB1/CDKN1A/TNXB",3
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","1/215","169/9561",0.00591715976331361,0.26313471859089,-1.4658437938763,0.979313703023925,0.999974614961185,0.918636966854294,"RAB7B",1
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","1/215","205/9561",0.0048780487804878,0.216925694838344,-1.71897707782808,0.991027079330027,0.999974614961185,0.918636966854294,"PLCB1",1
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","3/215","371/9561",0.00808625336927224,0.359593806807497,-1.9081829458484,0.991032705612558,0.999974614961185,0.918636966854294,"NRG2/ANG/PRPH",3
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","1/215","227/9561",0.00440528634361234,0.195902059215244,-1.85961597362742,0.994622775844138,0.999974614961185,0.918636966854294,"EGF",1
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","1/215","271/9561",0.003690036900369,0.164095082811293,-2.11723447084694,0.998075971302488,0.999974614961185,0.918636966854294,"MAPT",1
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","1/215","311/9561",0.00321543408360129,0.142989605922381,-2.33040125286312,0.999247369238191,0.999974614961185,0.918636966854294,"PLCB1",1
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","1/215","454/9561",0.00220264317180617,0.0979510296076222,-2.98679668770382,0.999974614961185,0.999974614961185,0.918636966854294,"GNG7",1
