"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0106030","neuron projection fasciculation","4/416","21/18986",0.19047619047619,8.69322344322344,5.27943666689593,0.00101151962548315,0.0965323287941993,0.0868548412383697,"EPHB2/SEMA5A/EPHB3/NCAM2",4
"GO:0070555","response to interleukin-1","9/416","116/18986",0.0775862068965517,3.54098972148541,4.10858207441831,0.00103235706546332,0.0965323287941993,0.0868548412383697,"SIRPA/CCL5/ADAMTS12/AKAP12/IL6/IL1R1/INHBB/IL1RN/PLCB1",9
"GO:0009914","hormone transport","17/416","330/18986",0.0515151515151515,2.35112179487179,3.70585324768268,0.0010410257888317,0.0965323287941993,0.0868548412383697,"GNAO1/CCN3/SELENOM/SYT7/SLC16A2/CCL5/RFX3/GNAZ/C1QTNF1/IL6/SLC7A8/INHBB/IL1RN/HNF4A/AQP1/PLCB1/CPE",17
"GO:0061041","regulation of wound healing","10/416","140/18986",0.0714285714285714,3.25995879120879,4.0169919257333,0.00104747715545489,0.0965323287941993,0.0868548412383697,"PHLDB2/VTN/TNFAIP3/MYLK/EPHB2/C1QTNF1/CLDN1/SERPINE1/TSPAN8/APOE",10
"GO:2000352","negative regulation of endothelial cell apoptotic process","5/416","36/18986",0.138888888888889,6.33880876068376,4.79884830576575,0.00106190725390475,0.0965323287941993,0.0868548412383697,"TNFAIP3/SEMA5A/SERPINE1/CDH5/GAS6",5
"GO:0031589","cell-substrate adhesion","18/416","361/18986",0.0498614958448753,2.27564990411251,3.66254504883701,0.00108632508965135,0.0965323287941993,0.0868548412383697,"PHLDB2/VTN/ITGA1/COL17A1/FBLN5/VIT/CORO2B/ADAMTS12/SORBS1/ITGB4/MMP12/VCAM1/SERPINE1/EPHB3/FN1/CCL28/GAS6/TNXB",18
"GO:0018958","phenol-containing compound metabolic process","9/416","117/18986",0.0769230769230769,3.51072485207101,4.07721510247378,0.00109723536138898,0.0965323287941993,0.0868548412383697,"MC1R/SLC45A2/SLC16A2/SLC1A1/CPQ/HDC/BTBD9/TRPC1/HPN",9
"GO:0098801","regulation of renal system process","4/416","22/18986",0.181818181818182,8.29807692307692,5.12626222349868,0.00121509625612633,0.101413621940816,0.0912467785984559,"CORO2B/SPX/GJA5/GAS6",4
"GO:0030072","peptide hormone secretion","14/416","250/18986",0.056,2.55580769230769,3.7062396173072,0.00129614929024833,0.101413621940816,0.0912467785984559,"GNAO1/CCN3/SYT7/SLC16A2/CCL5/RFX3/GNAZ/IL6/INHBB/IL1RN/HNF4A/AQP1/PLCB1/CPE",14
"GO:0023061","signal release","22/416","493/18986",0.0446247464503043,2.03664768294586,3.49057497124857,0.00136709507080263,0.101413621940816,0.0912467785984559,"GNAO1/CCN3/SELENOM/SYT7/SLC16A2/CCL5/RFX3/GNAZ/C1QTNF1/IL6/ADRA2B/RIMS3/INHBB/IL1RN/HNF4A/SYN1/AQP1/SV2A/NRXN2/PLCB1/CPE/MCTP1",22
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","6/416","56/18986",0.107142857142857,4.88993818681319,4.36322311049885,0.00137381754275156,0.101413621940816,0.0912467785984559,"C3/C1S/CFI/C4B/HPX/FCMR",6
"GO:0085029","extracellular matrix assembly","6/416","56/18986",0.107142857142857,4.88993818681319,4.36322311049885,0.00137381754275156,0.101413621940816,0.0912467785984559,"PHLDB2/FBLN5/COL6A1/MFAP4/GAS6/TNXB",6
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","15/416","280/18986",0.0535714285714286,2.44496909340659,3.64580236959066,0.00137469939528814,0.101413621940816,0.0912467785984559,"CLSTN3/DCHS1/ELFN2/VCAM1/CLDN1/PECAM1/IL1RN/PSG5/PCDH9/PCDH1/CDH5/CDH12/CDH15/CD177/MDGA1",15
"GO:0002223","stimulatory C-type lectin receptor signaling pathway","4/416","23/18986",0.173913043478261,7.93729096989967,4.9824886734624,0.00144569545332333,0.101413621940816,0.0912467785984559,"KLRC2/KLRC3/KLRC4/KLRC1",4
"GO:1990840","response to lectin","4/416","23/18986",0.173913043478261,7.93729096989967,4.9824886734624,0.00144569545332333,0.101413621940816,0.0912467785984559,"KLRC2/KLRC3/KLRC4/KLRC1",4
"GO:1990858","cellular response to lectin","4/416","23/18986",0.173913043478261,7.93729096989967,4.9824886734624,0.00144569545332333,0.101413621940816,0.0912467785984559,"KLRC2/KLRC3/KLRC4/KLRC1",4
"GO:0003012","muscle system process","21/416","465/18986",0.0451612903225806,2.06113523573201,3.46745641313471,0.00150786754961782,0.101413621940816,0.0912467785984559,"CACNA1H/GNAO1/CRYAB/GSN/SCN8A/BDKRB2/MYLK/COL6A1/HTR1D/SPX/HCN4/GJA5/ADRA2B/APBB1/COL14A1/ARG2/IGFBP5/SCN4B/SCN1A/LMCD1/FXYD1",21
"GO:0035696","monocyte extravasation","3/416","11/18986",0.272727272727273,12.4471153846154,5.68391434906416,0.00151164825027523,0.101413621940816,0.0912467785984559,"SIRPA/PECAM1/PLCB1",3
"GO:0035871","protein K11-linked deubiquitination","3/416","11/18986",0.272727272727273,12.4471153846154,5.68391434906416,0.00151164825027523,0.101413621940816,0.0912467785984559,"TNFAIP3/OTUB2/OTUD7A",3
"GO:0048251","elastic fiber assembly","3/416","11/18986",0.272727272727273,12.4471153846154,5.68391434906416,0.00151164825027523,0.101413621940816,0.0912467785984559,"FBLN5/MFAP4/TNXB",3
